HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Doctor Sadia Nadeem Ultrasound Center,Toba-Tek-Singh,Punjab,"Doctor Sadia Nadeem Ultrasound Center, Street No. 2, Hussnia Colony Gojra, Punjab, Toba Tek Singh",1,3000699296
Moon Clinic And Laboratory,Vehari,Hasilpur,"Moon Clinic And Laboratory, Near Dhq Hospital, G Block, New Sharqi Colony, Hasilpur, Vehari",1,3007725523
Uppal Clinic,Wah-Cantt,Lalazar,"Uppal Clinic, Near Idc Lab, Lalazar, Wah Cantt",-,3015029090
Hassan Clinic And Lab,Wazirabad,Circular Road,"Hassan Clinic And Lab, Circular Road, Circular Road, Wazirabad",-,3111222398
Karachi Medicos & Radiology Center,Karachi,0,"Karachi Medicos & Radiology Center, C-19D, Badar Commercial, Street 5, Opp. Sohny Sweets, Dha Phase 6, Karachi",7,042-32591427
M Farooq Clinical Pharmacy,Karachi,0,"M Farooq Clinical Pharmacy, Near Rahat Milk Corner Street 18-C Sunset Lane-I Commercial Area, Dha Phase Ii, Karachi",2,042-32591427
Atia General Hospital,Karachi,0,"Atia General Hospital, 48, Kalaboard Bus Stop, Malir, Karachi",12,021-34402207
Life Clinic,Karachi,0,"Life Clinic, 3C, 8/8, Azhar Archade, Just Opp. Alkhidmat Pharmacy & Lab Near Abbasi Shaheed Hospital, Nazimabad, Karachi",-,3333030602
Ehsan Kamal Hospital,Karachi,0,"Ehsan Kamal Hospital, Plot # 130, Near Sindh Lab, Pechs, Pechs, Karachi",4,(021) 34314570
"Aga Khan Diagnostic Center, Garden",Karachi,0,"Aga Khan Diagnostic Center, Garden, Garden 515, Gold Street, Garden East, Karachi",36,212258282
Cosmodent Clinics,Karachi,0,"Cosmodent Clinics, Adjacent Dr Essa Lab, Shaheed E Millat Road, Karachi",6,042-32591432
Shaheen Clinic Opd & Ultrasound,Karachi,0,"Shaheen Clinic Opd & Ultrasound, Naimat Apartment, Block N North Nazimabad Town, Nazimabad Town, Karachi",1,3352098986
Khalid Diagnostic Center,Karachi,0,"Khalid Diagnostic Center, Doctors Plaza, Darakhshan Housing Society, Malir, Karachi",1,2134505955
Dr Fasih Ent & General Hospital,Karachi,0,"Dr Fasih Ent & General Hospital, A/28 Kalaboard, Malir, Karachi",5,2134503754
Iqbal Ent Clinic,Karachi,0,"Iqbal Ent Clinic, 13 D - 2 Samah Apartment ,Shop No.4, Opposite Aga Khan Lab. And Hussain Lab, Gulshan E Iqbal, Karachi",1,3218035581
Burhani Diagnostic Center,Karachi,0,"Burhani Diagnostic Center, V25J+Vqq, Saddar, Karachi",-,2135661952
Dr Essa Laboratory & Diagnostic Centre,Karachi,0,"Dr Essa Laboratory & Diagnostic Centre, Gulshan-E-Iqbal Block 13-A, Opposite To Expo Center, Gulshan-E-Iqbal, Karachi",5,2135862522
Garrison Hospital & Diagnostic Center,Karachi,0,"Garrison Hospital & Diagnostic Center, Karachi Cantonment Fowler Lines, Iqbal Shaheed Rd,, Karachi",4,3350218416
Dr Essa Laboratory Hospital,Karachi,0,"Dr Essa Laboratory Hospital, Main Korangi Road 3½ Opposite Pso Pump, Korangi, Karachi",1,3042864896
Gastrointestinal & Liver Practice Hospital,Karachi,0,"Gastrointestinal & Liver Practice Hospital, Ali Apartment, Ground Floor, Main Korangi Rd, D.H.A. Phase 1 Phase I Defence Housing Authority, Dha Phase 1, Karachi",-,0331 2224457
Dr Naeem Uddin Skin Clinic (K),Karachi,0,"Dr Naeem Uddin Skin Clinic (K), Malir Kalaboard Mezzanine Floor Darakshan, Appt, Sonneri Bank Building Near Nehal Hospital, Darakhshan Cooperative Housing Society Kala Board,, Karachi, Karachi",1,3009229450
