HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Al Madina Homeopathic Medical Clinic,Faisalabad,Nishatabad,"Al Madina Homeopathic Medical Clinic, Street No 8 Near Misaqul Mall Nishatabad, Nishatabad, Faisalabad",-,3111222398
Govt Al-Hamad Hospital,Faisalabad,Nishatabad,"Govt Al-Hamad Hospital, Nishatabad, Nishatabad, Faisalabad",1,3054936492
Independent University Hospital,Faisalabad,Nurwala Road School Stop,"Independent University Hospital, Kothi Sadat Murzi Pura, Nurwala Road, School Stop, Faisalabad",7,041-2682828-36
Sughra Trust Hospital,Faisalabad,Old Grain Market Road,"Sughra Trust Hospital, Main Rehmania Road, Old Grain Market Road, Faisalabad",1,3218590150
Prohealth Rehab & Medical Center,Faisalabad,P 346 C Block Amin Town Near Shair Muhammad Electric Kashmir Road Kashmir Bridge West Canal Road Faisalabad,"Prohealth Rehab & Medical Center, P-346 C-Block Amin Town Near Shair Muhammad Electric Kashmir Road Kashmir Bridge West Canal Road Faisalabad, P-346 C-Block Amin Town Near Shair Muhammad Electric Kashmir Road Kashmir Bridge West Canal Road Faisalabad, Faisalabad",1,0313 6533006
Multi Therapeia Complex Hospital,Faisalabad,P 5 Canal Park East,"Multi Therapeia Complex Hospital, Near Chamber Of Commerce W-Canal Rd, P-5 Canal Park East, Faisalabad",-,92412421213
Aanwar Clinic,Faisalabad,Pakistan,"Aanwar Clinic, Faislabad, Pakistan, Faisalabad",-,nill
Ahmad Specialist Clinic,Faisalabad,Partaab Nagar,"Ahmad Specialist Clinic, Street # 6, Main Rehmania Road, Near Toheed Chowk, Partaab Nagar., Partaab Nagar, Faisalabad",1,3009658859
Fatima Fitness And Physio Clinic,Faisalabad,People Colony,"Fatima Fitness And Physio Clinic, 452-A People Colony 1, Near Faisal Hospital, People Colony, Faisalabad",1,042-32591432
Aneela Shaheen Clinic,Faisalabad,People Colony No 1,"Aneela Shaheen Clinic, 428 Canal Expy Near Faisal Hospital Block A People Colony No 1, People Colony No 1, Faisalabad",1,3117415550
Dermaline Skin And Laser Clinic,Faisalabad,People Colony No 1,"Dermaline Skin And Laser Clinic, 177 A Specialist Care Clinic Chen One Rd Near Gourmet Bakery Block A People Colony No 1, People Colony No 1, Faisalabad",1,3230085035
Anwar Clinic,Faisalabad,People Colony No 1,"Anwar Clinic, D Ground, Block B, People Colony No 1, Faisalabad",1,418719828
Arslan Homeopathic Clinic,Faisalabad,People Colony No 1,"Arslan Homeopathic Clinic, D Ground Block B Mc Girls High School, People Colony No 1, Faisalabad",2,3043711739
Aamir Eye Clinic,Faisalabad,People Colony No 1,"Aamir Eye Clinic, 890 Kharal Road, Block B, People Colony No 1, Faisalabad",1,3202199999
Dentist Clinic,Faisalabad,People Colony No 1,"Dentist Clinic, 535 B, People Colony No 1, Faisalabad",1,3244556536
Manzar Medical Center & Poly Clinic,Faisalabad,People Colony No 1 Faisalabad,"Manzar Medical Center & Poly Clinic, 432-D, Clock Tower, People Colony No 1, Faisalabad, Faisalabad",5,3111222398
Lones Dental Clinic,Faisalabad,People Colony No 2,"Lones Dental Clinic, Peoples Colony No.2, Near Babar Chowk, Islam Park,, People Colony No 2, Faisalabad",1,0303 4839719
Midcity Medical Center,Faisalabad,People Colony No 2,"Midcity Medical Center, Haseeb Shaheed Road?, Haseeb Shaheed Colony Block A, People Colony No 2, Faisalabad",2,3338376168
Nizami Medical Centre,Faisalabad,People Colony No 2,"Nizami Medical Centre, Plot No 1058 B Sharif Chowk, Near Fawar Chowk, People Colony No 2, Faisalabad",-,3027129724
Dental Clinic (Nutriforage),Faisalabad,People Colony 1,"Dental Clinic (Nutriforage), Main Gata Wala Chowk Near Hardees Behind Subway, People Colony#1, Faisalabad",-,3091870525
Saad Medical Complex Hospital,Faisalabad,Peoples Colony,"Saad Medical Complex Hospital, Infront Of Alfateh Rcg Mall, Parallel To Hotel 1, Jaranwala Road., Peoples Colony, Faisalabad",8,3372116116
Neurology Center Of Excellence,Faisalabad,Peoples Colony,"Neurology Center Of Excellence, 23 1/ A Near Makki Hospital, Peoples Colony, Faisalabad",-,3227776464
Dr Mohammad Fahim Ur Rehman Hospital,Faisalabad,Peoples Colony,"Dr Mohammad Fahim Ur Rehman Hospital, House # 135C, D-Ground, Peoples Colony, Faisalabad",1,3216635998
Fauji Foundation Hospital Faisalabad,Faisalabad,Peoples Colony,"Fauji Foundation Hospital Faisalabad, D Ground Road, Peoples Colony, Faisalabad",1,041 8731692
Fatima Fitness And Physiotherapy Clinic,Faisalabad,Peoples Colony,"Fatima Fitness And Physiotherapy Clinic, 452-A, Near Faisal Hospital, Peoples Colony, Faisalabad",-,3206649392
Jawad Hospital,Faisalabad,Peoples Colony,"Jawad Hospital, Saatiana Road, Peoples Colony, Faisalabad",1,041-8532525
Niaz Medicure Hospital,Faisalabad,Peoples Colony,"Niaz Medicure Hospital, Main Blvd, Block A Peoples Colony 2, Faisalabad, Punjab, Peoples Colony, Faisalabad",1,(041) 8533302
Omer Heart Clinic,Faisalabad,Peoples Colony,"Omer Heart Clinic, 864-B, Peoples Colony, Faisalabad",-,418729999
Dr. Shahid Ahmed Heera Clinic,Faisalabad,Peoples Colony 1,"Dr. Shahid Ahmed Heera Clinic, Main Blvd Near Manzar Medical Center & Poly Clinic D Ground Block D Peoples Colony No 1, Peoples Colony 1, Faisalabad",3,3326881430
Umair Complex Hospital,Faisalabad,Peoples Colony 1,"Umair Complex Hospital, B-249, Hakeem Sultan Ahmad Road, Peoples Colony 1, Faisalabad",1,3000649149
Maqsooda Zia Hospital,Faisalabad,Peoples Colony 2,"Maqsooda Zia Hospital, P-973, Satayana Rd, Fatehabad, Peoples Colony 2, Faisalabad",4,(041) 8721243
The Originator Inclusive Institute And Clinic,Faisalabad,Peoples Colony No 1,"The Originator Inclusive Institute And Clinic, 1256 B, Near Dr Arif Maan Clinic, Peoples Colony No 1, Faisalabad",1,3222050200
Alhaq Clinic,Faisalabad,Peoples Colony No 1,"Alhaq Clinic, 79-D Near Imam Bargah, Peoples Colony No 1, Faisalabad",-,3326605095
Dr Shahid Ahmed Heera Clinic,Faisalabad,Peoples Colony No 1,"Dr Shahid Ahmed Heera Clinic, Main Blvd, Near Manzar Medical Center & Poly Clinic, Block D, Peoples Colony No 1, Faisalabad",-,418727918
Skin Laser Clinic,Faisalabad,Peoples Colony No 1,"Skin Laser Clinic, 25 D, Peoples Colony No 1, Faisalabad",-,3008652277
Skin Aesthetic And Laser Clinic,Faisalabad,Peoples Colony No2,"Skin Aesthetic And Laser Clinic, 462 A, Babar Chowk, Peoples Colony No.2, Faisalabad",1,3326963324
Mukhtar Executive Clinic,Faisalabad,Peoples Colony No2,"Mukhtar Executive Clinic, Lyall Dr, Ground D, Block B, Peoples Colony No.2, Faisalabad",1,418739966
Orthodontics And Cleft Centre,Faisalabad,Pmc Colony,"Orthodontics And Cleft Centre, 7/B, Pmc Colony, Faisalabad",-,041 8848229
Foji Hospital,Faisalabad,Punjab,"Foji Hospital, Ali Town Rd, Mujahid Town, Punjab, Faisalabad",-,9.23369E+11
Farooq Medical Complex Hospital,Faisalabad,Punjab,"Farooq Medical Complex Hospital, Sadhar City, Punjab, Faisalabad",1,3016289733
Fozia Medicare Hospital,Faisalabad,Punjab,"Fozia Medicare Hospital, Msin, Zulfiqar Road, Near Khayaban Garden, Askari Market, Punjab, Faisalabad",1,3137672124
Jayde Aesthetic Clinic,Faisalabad,Punjab,"Jayde Aesthetic Clinic, Jamia Masjid Umar Farooq Ra, Punjab, Faisalabad",1,3067008651
Lifephysio Physiotherapy Clinic & Ladies Gym,Faisalabad,Punjab,"Lifephysio Physiotherapy Clinic & Ladies Gym, Plot#181, Ladhi Chowk, Main Road, Batala Colony, Punjab, Faisalabad",-,3117167142
Naqvi Homeopathic Clinic (New),Faisalabad,Punjab,"Naqvi Homeopathic Clinic (New), Circular Rd, Clock Tower, Punjab, Faisalabad",1,3218721414
Razia Ashraf Medicare Clinic,Faisalabad,Punjab,"Razia Ashraf Medicare Clinic, Muhammad, Chuhr Majra Kabootran Wala Chowk Ghulam, Abad, Punjab, Faisalabad",1,3218863863
Red Moon Medical Complex Hospital,Faisalabad,Punjab,"Red Moon Medical Complex Hospital, 25 Gulshan E Makkah Rd, Chak 7 Jb Kohala, Punjab, Faisalabad",1,3043083080
Begham Iqbal Clinic,Faisalabad,Rabbani Colony,"Begham Iqbal Clinic, Street No.3, Rabbani Colony No.1, Rabbani Colony, Faisalabad",3,418548032
St. Raphael Hospital,Faisalabad,Railway Rd Faisalabad Punjab,"St. Raphael Hospital, Railway Rd, Faisalabad, Punjab, Railway Rd, Faisalabad, Punjab, Faisalabad",-,(041) 2644130
Alhadi Dental And Medical Complex Hospital,Faisalabad,Raja Road,"Alhadi Dental And Medical Complex Hospital, 16H Near Sacred Angel School, Raja Road, Faisalabad",-,3078067854
Hope Clinic Healthoriented Pediatrics Education And Diagnostics,Faisalabad,Raja Road,"Hope Clinic Healthoriented Pediatrics Education And Diagnostics, 18 H Gulistan Colony, Raja Road, Faisalabad",1,3006628769
Azeem Clinic,Faisalabad,Rasool Park,"Azeem Clinic, Near Mehar Chowk, Rasool Park, Street-7, Rasool Park, Faisalabad",1,3111222398
Ghulam Qadir Memorial Poly Clinic,Faisalabad,Razaabad,"Ghulam Qadir Memorial Poly Clinic, Metropole Road, Razaabad, Faisalabad",-,3217957657
Iqbal Wel Care Clinic (Dr. Javed Iqbal),Faisalabad,Razabad,"Iqbal Wel Care Clinic (Dr. Javed Iqbal), Narwala Rd, Razabad, Razabad, Faisalabad",4,412695977
Abdullah Medicare Hospital,Faisalabad,Razabad,"Abdullah Medicare Hospital, Street No 5 Bazaar No 1, Razabad, Faisalabad",1,3000657936
Al Rehmat Clinic,Faisalabad,Rehman Shaheed Road,"Al Rehmat Clinic, Rehman Shaheed Road (Near Rehmat Pharmacy) Y Block Madina Town, Rehman Shaheed Road, Faisalabad",2,3033333151
Faraz Medicare Hospital,Faisalabad,Ring Road,"Faraz Medicare Hospital, 8 Chak, Near Al Sultan Petroleum, Ring Road, Faisalabad",1,3327272123
Fraz Medicare Hospital,Faisalabad,Ring Road,"Fraz Medicare Hospital, 8 Chak, Near Al Sultan Petroleum, Ring Road, Faisalabad",-,3127272123
The Family Clinic Child Care & Cure Complex,Faisalabad,Sadaf Amin Town,"The Family Clinic Child Care & Cure Complex, 432 Kashmir Road Amin Town Near Sadaf Jamia Masjid, Sadaf Amin Town, Faisalabad",1,3217692119
B Fit Fitness Studio Hospital,Faisalabad,Saeed Colony,"B Fit Fitness Studio Hospital, 3Rd Floor, The Boulevard Mall, Saeed Colony, Faisalabad",1,3208650184
Bin Inams Physiotherapy & Neuro Rehab Clinic,Faisalabad,Saleemi Center,"Bin Inams Physiotherapy & Neuro Rehab Clinic, 391 B Saleemi Center Lasan Road People Colony B Block, Saleemi Center, Faisalabad",1,3228030322
Nace Clinic,Faisalabad,Saleemi Chowk,"Nace Clinic, Satiyana Road, Saleemi Chowk, Faisalabad",1,3226308388
Dr Mehak Ali Consultant Gynecologist Hospital,Faisalabad,Samanabad,"Dr Mehak Ali Consultant Gynecologist Hospital, Near Bilal Chowk, Samanabad, Faisalabad",1,042-32591432
Dr Hafiz Tahir Jameel Hospital,Faisalabad,Samanabad,"Dr Hafiz Tahir Jameel Hospital, Rasheed Chowk Block B Samanabad Road, Samanabad, Faisalabad",1,3007696802
Saad Dental Centre,Faisalabad,Samanabad,"Saad Dental Centre, 665 A Main Road Bank Chowk, Samanabad, Faisalabad",1,3006681941
Zunair Munir Hair Transplant And Skin Laser Hospital,Faisalabad,Samnabad,"Zunair Munir Hair Transplant And Skin Laser Hospital, Bilal Chock, Near Ideal Bakers, Samnabad, Faisalabad",1,0320 7387008
Lahore Medical And Diagnostic Centre,Faisalabad,Samnabad,"Lahore Medical And Diagnostic Centre, Bilal Chowk,, Samnabad, Faisalabad",1,41669591
Fatima Poly Clinic,Faisalabad,Samnabad,"Fatima Poly Clinic, Fatima Tower Bear Novelty Bridge Main Road, Samnabad, Faisalabad",1,412666466
Dr Hussnain Ashfaq (Child Specialist) Children Care Clinic,Faisalabad,Samnabad,"Dr Hussnain Ashfaq (Child Specialist) Children Care Clinic, Main Road, Masoodabad Rd, Samanabad, Samnabad, Faisalabad",1,3017152044
Elahi General Hospital,Faisalabad,Samnabad,"Elahi General Hospital, Main Road, Samnabad, Faisalabad",1,042-32591432
"Dr Hussnain Ashfaq (Child Specialist) Children Care Clinic ,",Faisalabad,Samnabad,"Dr Hussnain Ashfaq (Child Specialist) Children Care Clinic ,, Main Road Masoodabad Rd Samanabad, Samnabad, Faisalabad",-,3017152044
Chawla Medical Center,Faisalabad,Samundri,"Chawla Medical Center, Faisalabad Road, Samundri, Samundri, Faisalabad",1,413421356
Dr Muhammad Arshad Hospital,Faisalabad,Samundri,"Dr Muhammad Arshad Hospital, 41 C Chenab Gardens Samundri Road, Samundri, Faisalabad",-,3009696609
Home Visit Faisalabad Hospital,Faisalabad,Samundri,"Home Visit Faisalabad Hospital, Areas (Rehmania Road, Cenima Road, Chenab Chowk, Nazimabad, Dijkot Road,, Samundri, Faisalabad",-,3142610226
Jamil Medi Care Hospital,Faisalabad,Samundri,"Jamil Medi Care Hospital, X73+7V6, Noorpur Thal - Shergarh Rd? Near Civil Hospital, Samundri, Faisalabad",1,413421445
Yameen Hospital,Faisalabad,Samundri,"Yameen Hospital, Gojra Road, Opposite Thq,, Samundri, Faisalabad",-,3320639712
Yameen Medical Centre,Faisalabad,Samundri,"Yameen Medical Centre, Gojra Road, Opposite Thq, Samundri, Faisalabad",-,3377229612
Young Welfare Hospital,Faisalabad,Samundri,"Young Welfare Hospital, Chak 467 Gb, Samundri, Faisalabad",2,413425333
Al-Hassan Surgical & Medical Center,Faisalabad,Samundri City Distt,"Al-Hassan Surgical & Medical Center, M C Office, Samundri City Distt, Faisalabad",1,413422458
Al-Falah Hospital,Faisalabad,Sargodha Road,"Al-Falah Hospital, 120 Jb Ali Town Sargodha Road, Sargodha Road, Faisalabad",1,3369604444
I-Dentist Dental Clinic,Faisalabad,Sargodha Road,"I-Dentist Dental Clinic, 3-A Mian Plaza, Beside Habib Bank Limited, Sargodha Road, Faisalabad",-,9.23006E+11
Identist Faisalabad Hospital,Faisalabad,Sargodha Road,"Identist Faisalabad Hospital, Pearl City Plaza, Sargodha Road, Faisalabad",-,3218353287
Faisalabad Institute Of Cardiology Hospital,Faisalabad,Sargodha Road,"Faisalabad Institute Of Cardiology Hospital, New Civil Lines, Sargodha Road, Faisalabad",5,419201527
Sial Medical Center,Faisalabad,Sargodha Road,"Sial Medical Center, Opp Crescent Textile Mills, Sargodha Road, Faisalabad",1,3407454943
Sial Medical Center Dental Clinic,Faisalabad,Sargodha Road,"Sial Medical Center Dental Clinic, Afshan Colony, Sargodha Road, Faisalabad",2,0332 0073513
Arham Clinic,Faisalabad,Sargodha Road,"Arham Clinic, Opposite Woodburry Homes Lassani Pulley, Sargodha Road, Faisalabad",-,3306379009
Faisalabad Hearing Center,Faisalabad,Sargodha Road,"Faisalabad Hearing Center, Opp. Rathore Hospital, Lasani Puli Near Ubl Bank, Sargodha Road, Faisalabad",1,3094223377
Oxygym Health And Fitness Club Hospital,Faisalabad,Sargodha Road,"Oxygym Health And Fitness Club Hospital, 2Nd Floor, Pearl City Tower, Shadman Town, Sargodha Road, Faisalabad",1,3066888896
Pearl City Hospital,Faisalabad,Sargodha Road,"Pearl City Hospital, Canal Block Shadman Town, Sargodha Road, Faisalabad",1,3216561717
Smiling Teeth Dental Clinic,Faisalabad,Sargodha Road,"Smiling Teeth Dental Clinic, Maqsooda Zia Hospital P 53 Usman Colony Opposite Textile Mills, Sargodha Road, Faisalabad",-,041 8785136
Safi Hospital,Faisalabad,Satayana Rd,"Safi Hospital, Near Ripha Univerisy, Satayana Rd, Faisalabad",6,(041) 8777010
Umer Farooq Dental Surgery Hospital,Faisalabad,Satayana Rd,"Umer Farooq Dental Surgery Hospital, 340-B Peoples Colony, Block B Peoples Colony No 2, Satayana Rd, Faisalabad",-,(041) 8726611
Syeda Khatoon-E-Jannat Trust Hospital,Faisalabad,Satayana Rd,"Syeda Khatoon-E-Jannat Trust Hospital, Near Fish Farm? Satayana Rd, Younus Town, Satayana Rd, Faisalabad",-,418777616
Rahat Dental Clinic,Faisalabad,Satellite Town,"Rahat Dental Clinic, 37-A, Dastagir Road, Satellite Town, Faisalabad",1,0321 8743400
Dr. Ahmed Farooq Clinic,Faisalabad,Satiana Road,"Dr. Ahmed Farooq Clinic, 338 B1 Punjab Society (Pgfhf) Opposite Tech Town, Satiana Road, Faisalabad",-,3344613333
Chugtai Medical Centre .,Faisalabad,Satiana Road,"Chugtai Medical Centre ., Satiana Road, Satiana Road, Faisalabad",1,3454992889
Wasim Mushtaq Dental Clinic,Faisalabad,Satiana Road,"Wasim Mushtaq Dental Clinic, 548-B Lasal Road Near Mian Polyclinic Satiyana Road, Satiana Road, Faisalabad",1,3002438699
Rachna Poly Cinic Hospital,Faisalabad,Satiana Road,"Rachna Poly Cinic Hospital, Toll Tax Near Gourmet Bakery, Satiana Road, Faisalabad",2,3000676258
Aga Khan Stat Lab Hospital,Faisalabad,Satiana Road,"Aga Khan Stat Lab Hospital, Gateway Towers, Satiana Road, Faisalabad",-,3009668121
Physio Clinic Tnt,Faisalabad,Satiana Road,"Physio Clinic Tnt, Satiana Road Faisalabad, Satiana Road, Faisalabad",1,3117209845
Tech Medical Facility Hospital,Faisalabad,Satiana Road,"Tech Medical Facility Hospital, Tech Town, Satiana Road, Faisalabad",-,3157641098
Rubina Memorial Hospital,Faisalabad,Satyana Road,"Rubina Memorial Hospital, Batala Colony, Satyana Road, Faisalabad",14,041 5388222
Dr Afsar Ali Khan Clinic,Faisalabad,Satyana Road,"Dr Afsar Ali Khan Clinic, Saleemi Chowk Opp Kips Acadmy, Satyana Road, Faisalabad",1,0300 6682488
Al Shifa Physiotherapy Clinic And Hijama Center,Faisalabad,Satyana Road,"Al Shifa Physiotherapy Clinic And Hijama Center, Jeddah Market, Near Raja Rani Marriage Hall, Satyana Road, Faisalabad",1,3111222398
Rasheed Neuro Clinic,Faisalabad,Satyana Road,"Rasheed Neuro Clinic, Satyana Road Batala Colony In Front Of Robeena Memorail Hospital, Satyana Road, Faisalabad",1,3332496289
Irfan Medical Citi Hospital,Faisalabad,Satyana Road,"Irfan Medical Citi Hospital, Satyana Road Near Chughtai Lab Faisalabad, Satyana Road, Faisalabad",3,418724179
Healthline Pakistan Slimming And Shaping Centre,Faisalabad,Satyana Road,"Healthline Pakistan Slimming And Shaping Centre, 17-H Besides Sitara Diamond City Main Gate, Lower Canal, Satayana Rd, Faisalabad, 38000, Satyana Road, Faisalabad",-,3001277724
Idc Physiofit Hospital,Faisalabad,Satyana Road,"Idc Physiofit Hospital, Idc Styana Road Fsd, Satyana Road, Faisalabad",2,-2
Sehat Mand Zindagi Centre,Faisalabad,Satyana Road,"Sehat Mand Zindagi Centre, Near Jazz Main Office Saleemi Chowk, Satyana Road, Faisalabad",-,3009658859
Sehat Mand Zindagi Clinic,Faisalabad,Satyana Road,"Sehat Mand Zindagi Clinic, Plot 677 D Ground, Block B Peoples Colony No 1, Satyana Road, Faisalabad",-,0321 8436375
Rehab-Home Psychiatric & Drug Addict Centers,Faisalabad,Sehgal City,"Rehab-Home Psychiatric & Drug Addict Centers, Sehgal City, Sehgal City, Faisalabad",2,3087048832
Rehab Home Hospital,Faisalabad,Sehgal City,"Rehab Home Hospital, House # 383, Husnain Block, Sehgal City, Sehgal City, Faisalabad",1,3259669666
Musa Dental Surgery Clinic,Faisalabad,Sehgal City Housing Society,"Musa Dental Surgery Clinic, Main Gate, Sumandri Road, Sehgal City Housing Society, Faisalabad",1,3107555076
Riaz Hospital .,Faisalabad,Shadman,"Riaz Hospital ., 15-Mumtaz Block , Shadman Town , Lasani Pulli , Sargodha Road , Faisalabad., Shadman, Faisalabad",-,3330272322
Naila Medical Centre,Faisalabad,Sheikh Colony,"Naila Medical Centre, P-64 , Abc Road / Tariq Road , Near Areeb Mariage Hall, Sheikh Colony, Faisalabad",1,3137252816
Gm Family Clinic,Faisalabad,Sheikhopura Road,"Gm Family Clinic, 200 R.B Lathian Wala, Sheikhopura Road, Faisalabad",1,0333 6664064
Saahil Hospital,Faisalabad,Sheikhupura Road,"Saahil Hospital, 1-Sheikhupura Road Adjacent To Hotel East Inn, Sheikhupura Road, Faisalabad",14,(041) 8782041
Saint Raphael Hospital,Faisalabad,Sir Syed Town,"Saint Raphael Hospital, Railway Rd,, Sir Syed Town, Faisalabad",1,(041) 2642518
Shahryar Oral Care Center,Faisalabad,Staff Colony,"Shahryar Oral Care Center, House 6 C Allied Hospital Staff Colony Dewoo Terminal Road, Staff Colony, Faisalabad",-,3320666077
Idc Lab & Diagnostic Center Madina Town,Faisalabad,Susan Road,"Idc Lab & Diagnostic Center Madina Town, Susan Road, Opposite Social Security Hospital, Madina Town, Susan Road, Faisalabad",1,3111000432
Punjab Social Security Hospital,Faisalabad,Susan Road,"Punjab Social Security Hospital, Block Z,Madina Town, Susan Road, Faisalabad",2,418524520
Zubaida Hospital,Faisalabad,Tandlianwala,"Zubaida Hospital, Canal Road, Tandlianwala, Faisalabad",-,0300 9665783
Naqvi Homoeopathic Clinic,Faisalabad,Tanki Road,"Naqvi Homoeopathic Clinic, 1423-B Peoples Colony No.1,, Tanki Road, Faisalabad",1,418542212
Prime Diagnostic Centre,Faisalabad,Toba Tek Singh,"Prime Diagnostic Centre, Rajana Road Toba Tek Singh, Toba Tek Singh, Faisalabad",1,3138479077
Alshifa Polyclinic,Faisalabad,Toba Tek Singh,"Alshifa Polyclinic, Canal Road Toba Tek Singh, Toba Tek Singh, Faisalabad",-,3454992889
Madinah Teaching Hospital,Faisalabad,University Town,"Madinah Teaching Hospital, Sargodha Road, University Town, Faisalabad",3,418869910
Musarrat Bahali Center,Faisalabad,Wali Pura,"Musarrat Bahali Center, Jawad Club Chowk, Wali Pura, Faisalabad",2,3239098443
Psynergy Clinic,Faisalabad,Wapda City,"Psynergy Clinic, 231 Block D, Wapda City, Faisalabad",-,3314954520
Adnan’S Diet & Poly Clinic,Faisalabad,Wapda City,"Adnan’S Diet & Poly Clinic, 15-C Market, Wapda City, Faisalabad",-,3474974797
Sims Polyclinic And Diagnostic Center,Faisalabad,Wapda City,"Sims Polyclinic And Diagnostic Center, F8, Main Boulevard, Wapda City, Faisalabad",2,3226887719
Home Based Physiotherapy Clinic,Faisalabad,Wapda Town,"Home Based Physiotherapy Clinic, E- 29 Near Wapda City, Wapda Town, Faisalabad",2,3211740366
Psynergy Lounge Hospital,Faisalabad,Wapda Town,"Psynergy Lounge Hospital, 105-J Wapda, Wapda Town, Faisalabad",1,042-32591432
Sajjad Clinic,Faisalabad,Waris Pura Road,"Sajjad Clinic, Opposite Mithu Ice Bar, Ice Cream Chock, Waris Pura Road, Faisalabad",1,9.2303E+11
Masood Medicare Hospital,Faisalabad,Yaseen Abad,"Masood Medicare Hospital, Peoples Colony No 1, Yaseen Abad, Faisalabad",1,(041) 8712693
Syeda Khatoon-E-Jannat Trust Hospital And Special Education Centre,Faisalabad,Younus Town,"Syeda Khatoon-E-Jannat Trust Hospital And Special Education Centre, Near Fish Farm? Satayana Rd,, Younus Town, Faisalabad",2,(041) 8777616
Al-Barkat Hospital,Gojra,Tufail Colony,"Al-Barkat Hospital, Faisalabad Rd, Gojra, Toba Tek Singh District, Punjab, Tufail Colony, Gojra",-,3006618686
Amad Diagnostic Center,Gujranwala,Civil Line,"Amad Diagnostic Center, Civil Hospital Road, Civil Line, Gujranwala",-,0302 8327668
Punjab Diagnostic Center,Gujranwala,Civil Lines,"Punjab Diagnostic Center, 44-A Zia Ul Haq Road, Civil Lines, Gujranwala",1,553251232
Rasheed Khokhar Diagnostic Center,Gujranwala,Civil Lines,"Rasheed Khokhar Diagnostic Center, Hospital Road, Muneer Chowk, Civil Lines, Gujranwala",-,553258797
Garrison Hospital And Diagnostic Center,Gujranwala,Main Tipu Sultan Road,"Garrison Hospital And Diagnostic Center, Main Tipu Sultan Road, Main Tipu Sultan Road, Gujranwala",2,3026363878
Gondal Medical And Diagnostic Center,Gujranwala,Muneer Chowk,"Gondal Medical And Diagnostic Center, Hospital Road, Muneer Chowk, Gujranwala",2,553251056
Rehman Medical Centre,Gujranwala,Munir Chowk,"Rehman Medical Centre, Kinza Lab Backside Gondal Hospital, Munir Chowk, Gujranwala",-,553859820
Ibne Seena Hospital Khalabat,Haripur,Khalabat Twp,"Ibne Seena Hospital Khalabat, 2W96+4Gc, Sector 02, Khalabatt Twp, Khalabat Twp, Haripur",1,995622022
Asghar General Hospital And Maternity Home,Haripur,Khalabat Twp,"Asghar General Hospital And Maternity Home, Chowk Main Rd, Sector 2 Khalabatt Twp, Khalabat Twp, Haripur",1,(0995) 620343
Super Diagnostic Center,Hyderabad,0,"Super Diagnostic Center, Near Lums Research Lab, Doctors Line, Saddar, Hyderabad",3,3332604038
Sindh Diagnostic Center,Hyderabad,0,"Sindh Diagnostic Center, Near Meezan Bank, Doctors Lane, Sadar, Hyderabad",1,042-32591428/27
Real Time Laboratary Hospital,Hyderabad,0,"Real Time Laboratary Hospital, Near Hydri Store ,Doctors Ln, Doctors Colony, Saddar, Hyderabad",2,(022) 2787298
Advance Mri And Diagnostic Centre,Hyderabad,0,"Advance Mri And Diagnostic Centre, Near Quaid E Azam Plaza Saddar, Saddar, Hyderabad",4,022) 2781794
Medicare Diagnostic Center,Hyderabad,0,"Medicare Diagnostic Center, Opposite Makka Medical Store,Near Mcb Islamic Bank Main Doctor Line Saddar, Doctor Line Sadar, Hyderabad",1,3332694922
Shaikh Diagnostic Center,Hyderabad,0,"Shaikh Diagnostic Center, Unit # 7, Latifabad, Hyderabad",4,3327939189
Super Diagnostic Centre,Hyderabad,0,"Super Diagnostic Centre, Doctors Line Near Lumhs Research Laboratory, Saddar, Hyderabad",1,3073110115
Royal Luxuria Advance Mri And Diagnostic Center,Hyderabad,0,"Royal Luxuria Advance Mri And Diagnostic Center, Gulistan E Sajjad Qasimabad,, Sindh, Hyderabad",2,3332663234
Advance Mri & Diagnostic Center,Hyderabad,0,"Advance Mri & Diagnostic Center, First Floor Royal Luxuria Main Gulistan E Sajjad Qasimabad, Jamshoro Road, Hyderabad",1,042-32591432
Asian Lab / Usra University Hospital & Diagnostic Lab,Hyderabad,0,"Asian Lab / Usra University Hospital & Diagnostic Lab, Hilal-E-Ahmer General Hospital, Unit No 6, Latifabad, Hyderabad",1,9.2306E+11
Dua Mri & Medical Centre,Hyderabad,0,"Dua Mri & Medical Centre, Soldier Bazaar, Saddar, Hyderabad",1,0305 3037718
Shaikh Xray & Diagnostic Center,Hyderabad,0,"Shaikh Xray & Diagnostic Center, Sakhi Sultan Road, Opposite Alfajar Restaurant, Latifabad Unit # 7, Hyderabad",1,3111222398
Farah Clinic,Hyderabad,0,"Farah Clinic, Near Aga Khan Laboratory, Opposite Zain Medical Store, Latifabad Unit # 6, Hyderabad",-,3363035567
"A-Wahab Arcade, 04 Mezzanine Floor Hospital",Hyderabad,0,"A-Wahab Arcade, 04 Mezzanine Floor Hospital, Behind Raheela Lab, Saddar, Hyderabad",3,022 2781945
Jb’S Heart And Vascular Clinic,Hyderabad,0,"Jb’S Heart And Vascular Clinic, Near Police Ground, Opposite Agha Khan Laboratory, Doctors Line, Saddar, Hyderabad",1,3452764852
Jpg X-Rays & Consulting Chambers Hospital,Hyderabad,0,"Jpg X-Rays & Consulting Chambers Hospital, Behind Tawakal Medical Storemain Doctors Lane, 0, Hyderabad",1,042-32591432
